City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Vaini,-21.2,-175.2,78.8,88,40,9.17,TO,1607284012
Kudahuvadhoo,2.67,72.89,82.51,78,100,14.29,MV,1607284012
Malanje,-9.54,16.34,62.65,95,80,1.57,AO,1607284012
Punta Arenas,-53.15,-70.92,68.0,45,75,26.4,CL,1607284012
Christchurch,-43.53,172.63,69.8,56,97,9.17,NZ,1607283830
Bozoum,6.32,16.38,74.55,30,3,2.53,CF,1607284012
Jamestown,42.1,-79.24,30.0,68,90,8.05,US,1607283991
George Town,5.41,100.34,78.8,88,20,7.45,MY,1607284012
Ushuaia,-54.8,-68.3,53.6,76,75,9.17,AR,1607284012
Bulungu,-4.55,18.6,71.31,91,100,0.81,CD,1607284012
Great Bend,38.36,-98.76,53.01,49,1,11.41,US,1607284013
Busselton,-33.65,115.33,54.0,87,0,1.01,AU,1607284013
Hermanus,-34.42,19.23,66.99,83,99,8.01,ZA,1607284013
Cape Town,-33.93,18.42,71.6,60,20,17.22,ZA,1607283816
Yangi Marg`ilon,40.43,71.72,35.6,59,20,4.7,UZ,1607284013
Olafsvik,64.89,-23.71,33.3,85,100,10.11,IS,1607284013
San Patricio,28.02,-97.52,64.0,63,40,13.87,US,1607284013
Bengkulu,-3.8,102.27,75.29,88,100,5.1,ID,1607283734
São João do Piauí,-8.36,-42.25,91.6,42,48,1.12,BR,1607284013
Vigrestad,58.57,5.7,41.0,72,0,1.12,NO,1607284013
Butaritari,3.07,172.79,81.34,78,59,10.27,KI,1607284013
Uyovu,-3.28,31.53,64.67,92,0,4.0,TZ,1607284013
Mar del Plata,-38.0,-57.56,71.6,56,0,18.34,AR,1607284013
Qaanaaq,77.48,-69.36,-1.64,73,100,2.66,GL,1607283893
Klaksvík,62.23,-6.59,37.4,86,92,9.17,FO,1607284013
Port Elizabeth,-33.92,25.57,68.0,82,100,16.11,ZA,1607284014
Chino Valley,34.76,-112.45,60.01,15,1,4.7,US,1607284014
Dikson,73.51,80.55,0.05,91,100,8.63,RU,1607284014
The Valley,18.22,-63.06,86.0,74,75,12.75,AI,1607283958
Vardø,70.37,31.11,26.6,79,0,21.92,NO,1607284014
Severobaykal'sk,55.65,109.32,5.7,85,36,7.16,RU,1607284014
Nanortalik,60.14,-45.24,30.69,96,76,7.23,GL,1607284014
Zhigansk,66.77,123.37,-7.74,89,100,16.22,RU,1607284014
Yar-Sale,66.83,70.83,26.4,95,96,21.05,RU,1607284014
Sibolga,1.74,98.78,77.27,79,100,2.53,ID,1607284014
Asău,46.43,26.4,32.0,13,100,4.38,RO,1607284014
Tilichiki,60.47,166.1,25.81,100,100,5.55,RU,1607284014
Faanui,-16.48,-151.75,80.46,72,97,7.85,PF,1607284014
Bredasdorp,-34.53,20.04,64.4,88,100,19.46,ZA,1607284014
Saint-Philippe,-21.36,55.77,77.0,78,20,9.64,RE,1607284014
Karratha,-20.74,116.85,81.25,66,38,8.08,AU,1607284014
Castro,-24.79,-50.01,59.38,97,100,6.44,BR,1607284015
Guiratinga,-16.35,-53.76,84.09,60,94,8.72,BR,1607284015
Brownsville,25.9,-97.5,64.4,42,1,16.11,US,1607283733
Lorengau,-2.02,147.27,82.54,75,100,10.98,PG,1607284015
Albany,42.6,-73.97,34.0,51,0,8.01,US,1607284015
Teluk Nibung,3.0,99.82,75.79,93,100,4.83,ID,1607284015
Benevides,-1.36,-48.24,78.8,83,75,3.36,BR,1607284015
Norman Wells,65.28,-126.83,-2.2,84,75,3.36,CA,1607284015
Ketchikan,55.34,-131.65,46.4,93,90,28.86,US,1607284015
Mataura,-46.19,168.86,62.01,79,8,3.0,NZ,1607283785
Rikitea,-23.12,-134.97,76.42,77,0,14.2,PF,1607283782
Mahébourg,-20.41,57.7,77.0,83,40,8.05,MU,1607284015
Udachny,66.42,112.4,-5.8,83,90,8.95,RU,1607283992
Kavieng,-2.57,150.8,82.89,73,33,11.48,PG,1607284015
